logFC	Gene.symbol	Gene.title
-24680746,00	FMO2	flavin containing monooxygenase 2
-19030699,00	QKI	QKI
-18354181,00	ITM2A	integral membrane protein 2A
-10489771,00	DENND3	DENN domain containing 3
-16480014,00	TBX2	T-box 2
-0,89	TTC28	tetratricopeptide repeat domain 28
-14790705,00	PDLIM2	PDZ and LIM domain 2
-18817391,00	THBD	thrombomodulin
-11718248,00	LRRC36	leucine rich repeat containing 36
-11499237,00	SEMA5A	semaphorin 5A
-18661851,00	SRPX	sushi repeat containing protein
-11241647,00	SLC27A3	solute carrier family 27 member 3
-13531034,00	GATA2	GATA binding protein 2
-10073703,00	ARRB1	arrestin beta 1
-0,73	VSTM4	V-set and transmembrane domain containing 4
-13151278,00	CDO1	cysteine dioxygenase type 1
-12520472,00	WFS1	wolframin ER transmembrane glycoprotein
-18519336,00	DOCK4	dedicator of cytokinesis 4
-10307588,00	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
-15537385,00	LMO2	LIM domain only 2
-12199497,00	KL	klotho
-22591126,00	SDPR	serum deprivation response
-0,85	PCDH12	protocadherin 12
-23712008,00	LPL	lipoprotein lipase
-2245402,00	DLC1	DLC1 Rho GTPase activating protein
-12180683,00	SNRK	SNF related kinase
-0,67	GJA4	gap junction protein alpha 4
-18365408,00	GATA6	GATA binding protein 6
-14425173,00	ANGPT1	angiopoietin 1
-15572291,00	TBX3	T-box 3
-11323746,00	OLFML1	olfactomedin like 1
-19456723,00	FRY	FRY microtubule binding protein
-0,79	SEPT4	septin 4
-22198551,00	KLF4	Kruppel like factor 4
-0,95	FGFR4	fibroblast growth factor receptor 4
-13974987,00	P3H2	prolyl 3-hydroxylase 2
-13049663,00	DNASE1L3	deoxyribonuclease 1 like 3
-14428715,00	DACH1	dachshund family transcription factor 1
-16519786,00	BCHE	butyrylcholinesterase
-16410456,00	LHFP	lipoma HMGIC fusion partner
-22924053,00	SOSTDC1	sclerostin domain containing 1
-11686362,00	LINC00312	long intergenic non-protein coding RNA 312
-15596889,00	ADRB2	adrenoceptor beta 2
-10774286,00	PTPRB	protein tyrosine phosphatase
-15380613,00	DPYSL2	dihydropyrimidinase like 2
-15322303,00	ICAM2	intercellular adhesion molecule 2
-14279139,00	CTNNAL1	catenin alpha like 1
-15358385,00	PID1	phosphotyrosine interaction domain containing 1
-399512,00	SFTPC	surfactant protein C
-22585292,00	ZBTB16	zinc finger and BTB domain containing 16
-11049084,00	INPP5A	inositol polyphosphate-5-phosphatase A
-0,81	CASKIN2	CASK interacting protein 2
-37097964,00	CYP4B1	cytochrome P450 family 4 subfamily B member 1
-15333987,00	SPARCL1	SPARC like 1
-0,94	PTPRD	protein tyrosine phosphatase
-21396537,00	CPB2	carboxypeptidase B2
-12675171,00	THBD	thrombomodulin
-19101632,00	GIMAP6	GTPase
