"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of response to stimulus","GO:0048583","false","1.6443672088798915e-11","10.784001192281199","3993","182","80","21026","CD36,GRK5,EDNRB,CDH5,AGER,NPR1,TEK,TCF21,STARD13,DUOX1,VWF,FABP4,FOXF1,AGTR1,RAMP2,RASIP1,TGFBR3,FZD4,CAV1,SASH1,S1PR1,SLIT2,ARHGAP6,FGFR4,SLIT3,MMRN2,SVEP1,LIMS2,PPM1F,ACACB,FCN3,CLDN18,CAT,RGCC,SEMA5A,TNNC1,SPTBN1,HEG1,EMP2,MFNG,SESN1,RAMP3,CAV2,KLF2,KCNJ8,TMEM100,ARHGEF15,MACF1,PIP5K1B,TMEM204,LPL,ENG,FBLN5,CHRDL1,CFD,DENND3,THBD,SRPX,GATA2,ARRB1,WFS1,KL,DLC1,GATA6,ANGPT1,KLF4,DNASE1L3,SOSTDC1,ADRB2,PID1,INPP5A,PTPRD,CPB2,GHR,WIF1,KANK2,TGFBR2,ABHD6,SELP,WFDC1"
"GO:BP","cell migration","GO:0016477","false","2.01067539750993e-11","10.696658036041224","1534","182","47","21026","FAM107A,EDNRB,CDH5,AGER,TEK,JAM2,PECAM1,STARD13,GPM6A,FOXF1,AGTR1,LDB2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,ADARB1,S1PR1,SLIT2,TNS1,FGFR4,MMRN2,TIE1,PPM1F,RGCC,SEMA5A,EMP2,LYVE1,MACF1,CD34,PTPRB,ENG,HOXA5,GATA2,VSTM4,DOCK4,DLC1,ANGPT1,KLF4,DACH1,KANK2,TGFBR2,ABHD6,LIMCH1,SELP,SEMA3G"
"GO:BP","regulation of locomotion","GO:0040012","false","2.3559031947116137e-11","10.627842558904595","1067","182","39","21026","FAM107A,CDH5,AGER,TEK,JAM2,PECAM1,STARD13,DUOX1,FOXF1,LDB2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,ADARB1,SPOCK2,S1PR1,SLIT2,MMRN2,TIE1,PPM1F,RGCC,SEMA5A,EMP2,LYVE1,MACF1,ENG,GATA2,DOCK4,DLC1,ANGPT1,KLF4,DACH1,TGFBR2,ABHD6,LIMCH1,SELP,SEMA3G"
"GO:BP","regulation of cell migration","GO:0030334","false","2.491108323502034e-11","10.603607387165885","960","182","37","21026","FAM107A,CDH5,AGER,TEK,JAM2,PECAM1,STARD13,FOXF1,LDB2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,ADARB1,S1PR1,SLIT2,MMRN2,TIE1,PPM1F,RGCC,SEMA5A,EMP2,LYVE1,MACF1,ENG,GATA2,DOCK4,DLC1,ANGPT1,KLF4,DACH1,TGFBR2,ABHD6,LIMCH1,SELP,SEMA3G"
"GO:BP","vasculogenesis","GO:0001570","false","3.294962443779791e-11","10.48214953116167","85","182","14","21026","FOXF1,RAMP2,RASIP1,TGFBR3,FZD4,CAV1,TIE1,HEG1,EMP2,TMEM100,CD34,ENG,QKI,TGFBR2"
"GO:BP","positive regulation of developmental process","GO:0051094","false","8.015415190845397e-11","10.096073976688135","1343","182","43","21026","CD36,CDH5,AGER,TEK,AGTR1,TAL1,RAMP2,TGFBR3,CLDN5,FZD4,SASH1,LRRN3,GPM6B,SLIT2,ASPA,MMRN2,TIE1,ACACB,RGCC,TBX2,SEMA5A,NOTCH4,EMP2,ADIRF,TMEM100,MACF1,CD34,LPL,ENG,HOXA5,QKI,GATA2,KL,GATA6,KLF4,ADRB2,ZBTB16,PTPRD,GHR,WIF1,TGFBR2,TRPV2,ID4"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","false","1.0119816780604772e-10","9.99482735033146","1667","182","48","21026","CD36,EDNRB,CDH5,AGER,NPR1,TEK,FABP4,RAMP2,ACADL,TGFBR3,EPAS1,FZD4,CAV1,SASH1,LRRN3,GPM6B,SLIT2,ASPA,MMRN2,SVEP1,TIE1,ACACB,RGCC,TBX2,SEMA5A,SPTBN1,HEG1,EMP2,MACF1,CD34,LPL,ENG,QKI,THBD,GATA2,KL,GATA6,ANGPT1,KLF4,ADRB2,ZBTB16,PTPRD,CPB2,GHR,TGFBR2,TRPV2,SELP,ID4"
"GO:BP","circulatory system process","GO:0003013","false","1.0479022380786888e-10","9.979679232088356","602","182","29","21026","CD36,EDNRB,CDH5,AGER,NPR1,TEK,AGTR1,RAMP2,CLDN5,EPAS1,CAV1,SLIT2,SVEP1,FXYD1,TBX2,TNNC1,HEG1,EMP2,RAMP3,KLF2,KCNJ8,ENG,VSTM4,DOCK4,KL,GATA6,ANGPT1,ADRB2,HBB"
"GO:BP","cell population proliferation","GO:0008283","false","1.295414065564745e-10","9.887591391700846","2015","182","53","21026","GRK5,EDNRB,CDH5,AGER,NPR1,TEK,FOXF1,AGTR1,TAL1,TGFBR3,CLDN5,FZD4,CAV1,ADARB1,S1PR1,TACC1,ADAMTS8,FGFR4,SLIT3,MMRN2,TIE1,LIMS2,CLDN18,RGCC,TBX2,SEMA5A,EMP2,CAV2,KCNJ8,CD34,LRRC32,ENG,HOXA5,SRPX,GATA2,VSTM4,DLC1,GATA6,ANGPT1,TBX3,KLF4,P3H2,DACH1,BCHE,PID1,ZBTB16,CPB2,GAB2,KANK2,TGFBR2,VIPR1,EML1,ID4"
"GO:BP","tissue development","GO:0009888","false","1.8170666545157921e-10","9.740629141400023","2032","182","53","21026","EDNRB,CDH5,TCF21,PECAM1,STARD13,FOXF1,LDB2,TAL1,RASIP1,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,ADARB1,S1PR1,GPM6B,SLIT2,MMRN2,SVEP1,TIE1,GJA4,CAT,RGCC,TBX2,SEMA5A,TNNC1,NOTCH4,HEG1,EMP2,CAV2,KLF2,KCNJ8,TMEM100,CD34,LPL,ENG,HOXA5,QKI,GATA2,KL,DLC1,GATA6,TBX3,KLF4,SOSTDC1,ADRB2,ZBTB16,GHR,KANK2,TGFBR2,SEMA3G,ID4"
